mission	type	title	item_C	item_R	item_A	item_P
STANDARD	NORMAL	AFTER START	EQUIP COOL OVRD Pushbutton (6)	PUSH IN	RSP	
STANDARD	NORMAL	BEFORE TAKEOFF	APU (7)	AS REQUIRED	RSP	Performed when cleared to line up on the runway.
STANDARD	NORMAL	BEFORE TAKEOFF	Mission Crew	NOTIFY	RSP	
STANDARD	NORMAL	BEFORE TAKEOFF	FUEL XFEED Knob	OFF	RSP	
STANDARD	NORMAL	BEFORE TAKEOFF	Autothrottle	AS REQUIRED	LSP	
STANDARD	NORMAL	BEFORE TAKEOFF	Brake Temperature	CHECK	LSP	
STANDARD	NORMAL	BEFORE TAKEOFF	EICAS	CHECK	LSP / RSP	
STANDARD	NORMAL	BEFORE TAKEOFF	Autobrake	AS REQUIRED	LSP	
STANDARD	NORMAL	BEFORE TAKEOFF	Takeoff Configuration	CHECK	RSP	
STANDARD	NORMAL	BEFORE TAKEOFF	TO / GA Button	PRESS	LSP	
STANDARD	NORMAL	BEFORE TAKEOFF	Lights	ON	RSP	
STANDARD	NORMAL	AFTER TAKEOFF	Landing Gear	CHECK UP	PM	
STANDARD	NORMAL	AFTER TAKEOFF	SLAT / FLAP Lever	RET	PM	
STANDARD	NORMAL	AFTER TAKEOFF	APU	AS REQUIRED	PM	
STANDARD	NORMAL	AFTER TAKEOFF	Fuel PUMP 1B and 2B [2856] (5)	AUTO	PM	
STANDARD	NORMAL	AFTER TAKEOFF	At Transition Altitude:			
STANDARD	NORMAL	AFTER TAKEOFF	Pressurization	CHECK	PM	
STANDARD	NORMAL	AFTER TAKEOFF	Altimeters	SET & XCHECK	PF & PM	
STANDARD	NORMAL	AFTER TAKEOFF	Above 10000 ft AFE:			
STANDARD	NORMAL	AFTER TAKEOFF	NO SMKG and FSTN BELTS Switches	AS REQUIRED	PM	
STANDARD	NORMAL	AFTER TAKEOFF	EXTERNAL LIGHTS Panel	AS REQUIRED	PM	
STANDARD	NORMAL	DESCENT	Approach Briefing	COMPLETE	PF	
STANDARD	NORMAL	DESCENT	Crew / Passengers	ADVISE	PM	
STANDARD	NORMAL	DESCENT	Autothrottle	AS REQUIRED	PF	
STANDARD	NORMAL	DESCENT	Landing Data	SET	PF & PM	
STANDARD	NORMAL	DESCENT	Pressurization	CHECK LFE	PF & PM	Below 10000 ft AFE:
STANDARD	NORMAL	DESCENT	Below 10000 ft AFE:			
STANDARD	NORMAL	DESCENT	NO SMKG and FSTN BELTS Switches	ON	PM	
STANDARD	NORMAL	DESCENT	EXTERNAL LIGHTS Panel	AS REQUIRED	PM	If airplane is equipped with AAR POD: (8)
STANDARD	NORMAL	DESCENT	AAR Hoses [2856] (8)	PERFORM VISUAL INSPECTION	PM	
STANDARD	NORMAL	APPROACH	Flight Crew / Passengers	ADVISE	PM	
STANDARD	NORMAL	APPROACH	Altimeters	SET & CHECK	PF & PM
STANDARD	NORMAL	APPROACH	Approach Aids	SET & XCHECK	PF & PM	
STANDARD	NORMAL	APPROACH	SLAT INHIB Button	AS REQUIRED	PM	
STANDARD	NORMAL	APPROACH	SLAT / FLAP Lever	AS REQUIRED	PM	MOVE LEVER ONE POSITION AT A TIME. (4)
STANDARD	NORMAL	APPROACH	APU	AS REQUIRED	PM	
STANDARD	NORMAL	APPROACH	Autobrake Knob	AS REQUIRED	PF	
STANDARD	NORMAL	BEFORE LANDING	SPD Outer Knob	MAN	PM	
STANDARD	NORMAL	BEFORE LANDING	SPD Inner Knob	AS REQUIRED	PM	
STANDARD	NORMAL	BEFORE LANDING	FUEL XFEED Knob	OFF	PM	
STANDARD	NORMAL	BEFORE LANDING	OBIGGS TANKS VENT Button	AS REQUIRED	PM	
STANDARD	NORMAL	BEFORE LANDING	LDG GEAR Lever	DOWN	PF / PM
STANDARD	NORMAL	BEFORE LANDING	SLAT INHIB Button	AS REQUIRED	PM	
STANDARD	NORMAL	BEFORE LANDING	SLAT / FLAP Lever	FULL	PF / PM	MOVE LEVER ONE POSITION AT A TIME. (4)
STANDARD	NORMAL	BEFORE LANDING	Airspeed	VREF FULL	PF	
STANDARD	NORMAL	BEFORE LANDING	Landing Lights	AS REQUIRED	PM	
STANDARD	NORMAL	AFTER LANDING	APU	AS REQUIRED	RSP	After vacate the runway:
STANDARD	NORMAL	AFTER LANDING	External Lights	AS REQUIRED	RSP	
STANDARD	NORMAL	AFTER LANDING	SLAT / FLAP Lever	RET	RSP	Start time after Thrust Levers in IDLE.
STANDARD	NORMAL	SHUTDOWN	Thrust Levers	IDLE (3 MIN)	LSP	
STANDARD	NORMAL	SHUTDOWN	PARKING BRAKE Switch	ON	LSP	NOTE: Cabin differential pressure shall be equal to zero before operating the doors.
